id,score0,score1,score2,difficulty
prhkfsqry,0.0,0.19,0.0,level2
knelqmbda,0.08,0.22,0.3,level1
axidxzxljrpp,0.13,0.19,0.0,level2
kxwwuus,0.23,0.2,0.12,level1
qxqvplokjbq,0.0,0.21,0.12,level0
zzlzdza,0.3,0.1,0.2,level2
rzrbpqh,0.32,0.12,0.05,level0
esaaaiimc,0.0,0.23,0.3,level2
hsoqcuiv,0.07,0.02,0.25,level0
yymxya,0.19,0.0,0.16,level1
xoymwkm,0.0,0.18,0.28,level1
eplplpumldgu,0.0,0.21,0.39,level0
zdjcvjfme,0.18,0.32,0.02,level0
tgzauhonjjdj,0.1,0.05,0.16,level2
dnzqcfwv,0.0,0.41,0.25,level1
gifhoh,0.35,0.1,0.43,level0
mnkmtvzvb,0.12,0.72,0.0,level0
jpleyzhqieuj,0.15,0.26,0.19,level1
xyjlftqvvdpw,0.0,0.42,0.26,level0
ldoxadcf,0.43,0.21,0.31,level0
epwwngch,0.0,0.08,0.32,level0
fckskyckuqux,0.0,0.0,0.25,level0
iserhb,0.31,0.03,0.0,level2
ntyzvpyqb,0.28,0.26,0.18,level0
nbashfx,0.14,0.17,0.35,level2
yocyaxdiwa,0.0,0.44,0.0,level2
lbzgje,0.05,0.32,0.28,level1
mgoqnp,0.2,0.21,0.06,level2
ndbrinkob,0.0,0.17,0.22,level2
jtqoboorxql,0.0,0.01,0.0,level2
tggacrfb,0.18,0.04,0.08,level0
nlytmzmjjstp,0.13,0.15,0.11,level2
fsrmzuzjcssk,0.31,0.17,0.21,level0
fhlgsowyf,0.12,0.07,0.31,level1
btbvdyrzi,0.33,0.28,0.25,level1
hmranz,0.17,0.03,0.14,level1
qeodolyp,0.0,0.16,0.04,level0
klzdgtyksh,0.0,0.05,0.36,level2
qbmhszygpfl,0.22,0.47,0.11,level2
derwcxwuchya,0.0,0.23,0.35,level0
yehuwskmtt,0.11,0.2,0.03,level2
fianvx,0.01,0.01,0.12,level0
ycgtnucy,0.13,0.15,0.0,level1
fnxinxdzrwhp,0.0,0.13,0.2,level2
wcxkgwfegw,0.0,0.0,0.27,level2
qovxwzmg,0.0,0.4,0.19,level2
equpdkb,0.04,0.09,0.42,level0
kuvtgpayqp,0.0,0.21,0.17,level2
smoopwu,0.06,0.29,0.28,level1
izhoafkdgcya,0.16,0.16,0.07,level1
byastwhom,0.0,0.19,0.22,level0
gmakgtkqaxnr,0.0,0.17,0.26,level2
pljmoguga,0.29,0.14,0.23,level2
obkxugtuvg,0.55,0.16,0.09,level2
okpqdtwve,0.15,0.25,0.29,level1
ucfgejau,0.07,0.11,0.14,level1
rrrxxxgiivu,0.04,0.26,0.32,level2
sqehfecadpvv,0.07,0.15,0.23,level2
iwsvoiz,0.0,0.1,0.3,level0
akwejdchi,0.17,0.0,0.0,level0
lbpwqblgyb,0.0,0.04,0.07,level1
ycwgtnripcka,0.05,0.25,0.33,level0
icrnncxqcbq,0.0,0.06,0.36,level1
fnruytjkaecw,0.0,0.04,0.02,level0
pvmsfvowbm,0.0,0.29,0.03,level0
byzwondgeotc,0.0,0.18,0.47,level1
swaihnqrcg,0.16,0.0,0.06,level2
sbshvmkrps,0.23,0.37,0.27,level1
ezluuxojud,0.07,0.32,0.09,level2
pnqqwvysstlw,0.0,0.47,0.0,level1
imovfsusrcjt,0.24,0.2,0.23,level1
chzcswaawa,0.01,0.01,0.0,level1
xqiwcam,0.07,0.17,0.3,level1
wuduxjo,0.08,0.0,0.25,level2
jsdckfqrwbv,0.0,0.3,0.09,level2
izmwbx,0.08,0.13,0.37,level2
luzzkynvvem,0.14,0.16,0.16,level1
aokhil,0.22,0.0,0.22,level1
grusorgc,0.27,0.11,0.13,level1
hutitgnxtvj,0.0,0.16,0.25,level1
drgelytahy,0.26,0.0,0.0,level0
myksvtdi,0.13,0.34,0.2,level0
qomqthezhuxq,0.07,0.32,0.21,level2
qymcdfh,0.1,0.08,0.13,level0
pywwwpbenhry,0.12,0.04,0.0,level0
sgkbii,0.31,0.3,0.1,level0
lebvlqjnhr,0.16,0.26,0.0,level2
edpmgabebya,0.15,0.42,0.1,level2
umcqngeuwsif,0.0,0.06,0.24,level0
nmzzmhmdggb,0.1,0.0,0.43,level2
kzdgywrhakeg,0.04,0.0,0.09,level1
bwrwypnrtbe,0.2,0.04,0.38,level1
