id,score0,score1,score2,difficulty
nydyakxy,0.04,0.21,0.13,level0
tvcysaqtcd,0.29,0.53,0.33,level1
kuefkrq,0.54,0.58,0.41,level0
wncxsovlde,0.45,0.39,0.55,level0
ddnwusop,0.25,0.46,0.06,level1
sxjoalucplr,0.47,0.52,0.67,level1
jddxldxqbem,0.16,0.22,0.34,level1
kiyoxchpyjry,0.51,0.45,0.7,level1
inbqjoihn,0.3,0.49,0.59,level0
ydnkkumuay,0.18,0.7,0.48,level0
leugdlbsxzm,0.13,0.38,0.58,level1
aflrbqgddzh,0.29,0.44,0.27,level0
uylwdtcbznw,0.3,0.45,0.38,level1
wrxmiy,0.15,0.38,0.53,level0
teotdrufltq,0.1,0.64,0.43,level1
iyftio,0.23,0.47,0.54,level0
ksftlvjzimy,0.44,0.35,0.3,level1
ntptohowqmv,0.28,0.66,0.4,level1
bahasyump,0.3,0.43,0.53,level0
khrhbfealw,0.32,0.34,0.87,level0
sulcxas,0.5,0.29,0.56,level1
kzbvxsppsoyy,0.56,0.56,0.31,level1
gvmxajgbhfb,0.27,0.45,0.6,level0
dwvwqzlchfst,0.2,0.36,0.35,level1
xjiztzgauwtu,0.61,0.3,0.37,level0
ughrxyzwnp,0.39,0.49,0.53,level0
wsffitbit,0.27,0.54,0.73,level1
vjeoipjiii,0.05,0.52,0.19,level1
rgjplhzhkk,0.26,0.34,0.25,level0
xojbszuvp,0.22,0.53,0.53,level1
ojmkfjzzbrz,0.39,0.48,0.39,level1
ffuofoyk,0.06,0.58,0.66,level1
ysegsyvkpeuu,0.0,0.52,0.64,level1
miybdkirf,0.08,0.31,0.09,level0
fokwvq,0.34,0.6,0.53,level1
aylsrssnvod,0.3,0.67,0.62,level1
vadaus,0.14,0.21,0.42,level0
rrqskfkaaphz,0.32,0.42,0.27,level1
zmvaegs,0.09,0.4,0.7,level0
zlhvlyn,0.41,0.55,0.68,level0
xymdxk,0.33,0.48,0.39,level0
sguiaqc,0.3,0.56,0.6,level1
fcwvrj,0.38,0.41,0.37,level1
ewgtmqjyhly,0.45,0.64,0.58,level1
pzatyh,0.28,0.41,0.58,level1
hfdateomvf,0.39,0.38,0.4,level0
xudtmgjcyb,0.3,0.71,0.5,level1
bjdntuoqmhpi,0.0,0.44,0.61,level0
dcjdpzbhtqxi,0.41,0.56,0.25,level1
jdefwn,0.04,0.53,0.32,level1
qcvezskxpx,0.0,0.39,0.46,level1
jsaodpn,0.16,0.61,0.4,level1
jslgkmotl,0.34,0.17,0.67,level0
