id,score0,score1,score2,difficulty
hmidzwe,0.1,0.83,0.44,level0
ghqpmtbals,0.0,0.5,0.32,level2
cqesulqzxbk,0.15,0.32,0.16,level1
nzwfiyboanmh,0.0,0.41,0.63,level1
dnztkfmjcgfr,0.15,0.25,0.11,level0
wqzzhwhwe,0.09,0.26,0.57,level0
awioqvjmavuj,0.07,0.43,0.26,level1
hvzraogjhmq,0.05,0.47,0.31,level2
qdckkkw,0.01,0.72,0.38,level2
qejjbyf,0.03,0.31,0.18,level2
nmltvb,0.15,0.45,0.28,level0
czovtoagh,0.03,0.57,0.27,level0
zfapmki,0.01,0.25,0.62,level0
pwsqpkthbact,0.24,0.24,0.45,level0
dytyrbihwvy,0.05,0.5,0.18,level1
kzxzdgyb,0.0,0.51,0.34,level2
hjwqygfpp,0.11,0.26,0.59,level2
litqgnwpnxra,0.28,0.18,0.06,level2
texierylxu,0.0,0.25,0.25,level2
iviltltwf,0.25,0.36,0.48,level0
cmljiq,0.36,0.4,0.62,level1
ubpvqugec,0.1,0.43,0.63,level0
lwtirzv,0.19,0.47,0.16,level2
fvkhvzniy,0.27,0.39,0.34,level1
kufrmysbdwq,0.19,0.61,0.16,level1
cjktwnb,0.08,0.62,0.31,level2
mowsgdr,0.13,0.34,0.29,level2
pqbbaas,0.0,0.29,0.46,level1
onjery,0.15,0.31,0.28,level2
voycwrnm,0.0,0.5,0.48,level2
himrqbogmq,0.26,0.36,0.29,level2
lbrligyvxyez,0.2,0.56,0.2,level0
ybimjaav,0.05,0.5,0.21,level0
zyserah,0.06,0.54,0.37,level1
kaeulro,0.24,0.28,0.35,level2
ltorgojt,0.1,0.5,0.14,level1
spzcfdnxhb,0.25,0.25,0.19,level2
xbazlppjtdw,0.0,0.4,0.59,level0
szmmakylhpaw,0.1,0.39,0.53,level2
wllzuwcawrsk,0.09,0.57,0.26,level0
bsaebqrntlqm,0.0,0.5,0.21,level1
pihjotrugd,0.08,0.46,0.18,level1
fihubybm,0.0,0.48,0.63,level0
jqoqyxjysit,0.11,0.33,0.42,level1
rtbswnlubtw,0.0,0.6,0.09,level0
lrmqzfhnxz,0.01,0.22,0.24,level1
gaoxqudyltk,0.21,0.42,0.47,level1
prtwwirrdxog,0.09,0.47,0.62,level2
rvbbtn,0.28,0.22,0.2,level2
bxtiiyv,0.11,0.43,0.54,level0
ozkbqcypgeeg,0.09,0.39,0.37,level0
gbnvhd,0.11,0.05,0.27,level0
bxkdyilokhru,0.14,0.53,0.39,level0
fthcgnx,0.02,0.71,0.39,level2
zxtyjxqth,0.0,0.31,0.29,level0
vogkzwq,0.0,0.39,0.2,level0
fycetglmzs,0.27,0.38,0.48,level0
lyrzicplm,0.0,0.1,0.49,level0
fnlmdllwlwrv,0.07,0.35,0.18,level2
dgucvvzsu,0.0,0.36,0.38,level0
kpouqszjm,0.16,0.5,0.28,level0
vdnwca,0.0,0.58,0.16,level0
kcbotll,0.09,0.78,0.32,level1
ntatnjzfp,0.09,0.51,0.26,level1
sxkeeaswcw,0.03,0.57,0.48,level1
bhclfvlb,0.0,0.26,0.45,level0
glipuqnwx,0.0,0.65,0.38,level2
ftbenwo,0.04,0.68,0.25,level2
etzsyxwx,0.18,0.44,0.31,level0
draozy,0.06,0.31,0.47,level1
diulwxssibfc,0.0,0.54,0.39,level0
teklyule,0.04,0.6,0.7,level2
awbulgdj,0.08,0.69,0.38,level2
vchykvlm,0.04,0.17,0.31,level1
jonohnnph,0.09,0.37,0.17,level1
yfyfihj,0.1,0.29,0.31,level0
wtamiwqfwfsk,0.0,0.46,0.33,level0
zfnceagu,0.18,0.53,0.36,level2
